username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
peter51551,,134,59,365,2020-10-07 22:52:23,[],@SPnl,@Vickyteacher12 @SPnl Het is ons koningshuis. Het oranje wat we in iedere sportwedstrijd gebruiken. Een president heeft maar 4 jaar om zijn zakken te vullen. Dan toch veel liever een respectabel koningshuis. Maar als jaloerse SPer verwacht ik niet anders,False,SP,False
RoelandRuijsch,"Eindhoven, The Netherlands",3366,1124,57574,2020-10-07 22:49:16,[],@SPnl,"Voor de belasting zijn we allemaal gelijk, toch? Behalve...de Koning. Ook het Koningshuis moet gewoon belasting gaan betalen! 👇 https://t.co/UkHnrR5G0g",True,SP,False
Vickyteacher12,,268,23,221,2020-10-07 22:33:03,[],@SPnl,"@peter51551 @SPnl Hoezo scoren? Zoveel mensen in de ellende! Het is niet meer dan normaal. Ik begrijp niet dat WA en Máxima zichzelf nog in de spiegel kunnen aankijken, met een eerlijk  hart kunnen gaan slapen?",False,SP,False
Vickyteacher12,,268,23,221,2020-10-07 22:27:40,[],@SPnl,"Voor de belasting zijn we allemaal gelijk, toch? Behalve...de Koning. Ook het Koningshuis moet gewoon belasting gaan betalen! 👇 https://t.co/UkHnrR5G0g",True,SP,False
Manifest20201,,102,5,105,2020-10-07 22:26:17,[],@SPnl,"Voor de belasting zijn we allemaal gelijk, toch? Behalve...de Koning. Ook het Koningshuis moet gewoon belasting gaan betalen! 👇 https://t.co/UkHnrR5G0g",True,SP,False
ron_schaftenaar,Enschede,90,36,1167,2020-10-07 22:25:46,[],@SPnl,"Voor de belasting zijn we allemaal gelijk, toch? Behalve...de Koning. Ook het Koningshuis moet gewoon belasting gaan betalen! 👇 https://t.co/UkHnrR5G0g",True,SP,False
Ineke_zoer,"Almelo, Nederland",389,46,5405,2020-10-07 22:13:53,[],@SPnl,"Voor de belasting zijn we allemaal gelijk, toch? Behalve...de Koning. Ook het Koningshuis moet gewoon belasting gaan betalen! 👇 https://t.co/UkHnrR5G0g",True,SP,False
Gkraankra,,1890,848,131227,2020-10-07 22:02:53,"[{'text': 'Biomassa', 'indices': [21, 30]}]",@SPnl,"#Biomassa zorgt voor ontbossing van de aarde en voor zwaar vervuilde uitstoot. Allemaal onder het mom van #klimaatverandering wordt #Biomassa met miljarden gesubsidieerd. Mede dankzij @Groenlinks @D66 , @VVD @SPnl  Schandalige politiek https://t.co/xI0w5dCWxC",True,SP,False
Khnen2,,500,613,60989,2020-10-07 21:58:33,[],@SPnl,"Voor de belasting zijn we allemaal gelijk, toch? Behalve...de Koning. Ook het Koningshuis moet gewoon belasting gaan betalen! 👇 https://t.co/UkHnrR5G0g",True,SP,False
Ingebor86819518,Amsterdam ,362,804,21369,2020-10-07 21:58:17,"[{'text': 'Biomassa', 'indices': [0, 9]}, {'text': 'klimaatverandering', 'indices': [106, 125]}, {'text': 'Biomassa', 'indices': [132, 141]}]",@SPnl,"#Biomassa zorgt voor ontbossing van de aarde en voor zwaar vervuilde uitstoot. Allemaal onder het mom van #klimaatverandering wordt #Biomassa met miljarden gesubsidieerd. Mede dankzij @Groenlinks @D66 , @VVD @SPnl  Schandalige politiek https://t.co/xI0w5dCWxC",False,SP,False
NicoleTemmink,Zwolle,757,1676,10458,2020-10-07 21:47:42,[],@SPnl,@MarcelZLena @SPnl @MaartenHijink Dinsdag wordt er gestemd,False,SP,False
EWdeVlieger,,1239,41981,270401,2020-10-07 21:47:11,[],@SPnl,"@SPnl Tuurlijk. De belastingbetaler geeft geld aan de Koning, vervolgens krijgt de belastingbetaler een stuk terug en het volk voelt zich dan plotseling correct behandelt. Lekker gewerkt pik. Logisch ook.",False,SP,False
